title,released,genres,description,link
'71,2014,drama film/action film/war film/crime film/thriller film,1960s–1990s conflict in Northern Ireland,http://www.wikidata.org/entity/Q12100227
100 Yen Love,2014,drama film/boxing film,full-contact combat sport,http://www.wikidata.org/entity/Q20092730
160 metros: una historia del rock en Bizkaia,2014,documentary film,popular music genre,http://www.wikidata.org/entity/Q105748477
2/11 Het spel van de wolf,2014,drama film/crime film/thriller film,2004 murder,http://www.wikidata.org/entity/Q18285681
"20,000 Days on Earth",2014,documentary film/biographical film,Australian musician,http://www.wikidata.org/entity/Q16829243
300: Rise of an Empire,2014,drama film/fantasy film/action film/war film,naval battle fought between an alliance of Greek city-states and the Persian Empire in 480 BC/479 BCE naval battle,http://www.wikidata.org/entity/Q400332
47 Ronin,2014,drama film/fantasy film/samurai cinema/action film/adventure film,18th century samurai battle,http://www.wikidata.org/entity/Q2816898
A Chronicle of Tahrir Square,2014,drama film/action film,"political upheaval in Egypt, leading to ouster of President Hosni Mubarak",http://www.wikidata.org/entity/Q24521528
A Matter of Faith,2014,drama film/independent film,"change in heritable characteristics of biological populations over successive generations/religious belief that nature, and aspects such as the universe, Earth, life, and humans, originated with supernatural acts of divine creation",http://www.wikidata.org/entity/Q20792155
A Murder in the Park,2014,documentary film,American wrongfully exonerated of murder,http://www.wikidata.org/entity/Q57902280
A Royal Hangover,2014,documentary film,broad term for problems with alcohol,http://www.wikidata.org/entity/Q19961370
A Separate Wind,2014,drama film,"country in North America/movement of people between geographical locations/use of physical force or power for coercion or as punishment/assumption of and reliance on the honesty of another party/relationship between two people or groups in which their thinking, acting or feeling is mutually related/relationship between siblings/term used in sociology to describe the alteration, dysfunction or breakdown of social life, often in a community setting",http://www.wikidata.org/entity/Q107288923
A Walk Among the Tombstones,2014,drama film/crime film/mystery film/crime thriller/film based on a novel,unlawful killing of a human with malice aforethought/taking away or transportation of a person against that person's will,http://www.wikidata.org/entity/Q11060926
A Year in Champagne,2014,documentary film,"sparkling wine from Champagne, France",http://www.wikidata.org/entity/Q50414241
A esmorga,2014,novel/drama film,broad term for problems with alcohol,http://www.wikidata.org/entity/Q18621803
Aadama Jaichomada,2014,sport film,wagering of money on a game of chance or event with an uncertain outcome,http://www.wikidata.org/entity/Q17509292
Above and Beyond,2014,documentary film/biographical film,use of aircraft by armed forces in combat or other military capacity/foreign volunteers who fought for Israel during the 1948 Arab–Israeli War,http://www.wikidata.org/entity/Q18914841
Actress,2014,documentary film,American actress,http://www.wikidata.org/entity/Q19961243
Against the Sun,2014,drama film/action film/survival film,superorder of predatory cartilaginous fish,http://www.wikidata.org/entity/Q18914843
Ai Weiwei The Fake Case,2014,documentary film/drama film,country in East Asia/inalienable fundamental rights to which a person is inherently entitled/Chinese Conceptual artist,http://www.wikidata.org/entity/Q17150226
Alien Abduction,2014,horror film/science fiction film/found footage,neurodevelopmental condition,http://www.wikidata.org/entity/Q16960967
All Is Lost,2014,drama film/action film/survival film,art of operating a ship or boat/sailing with one crew member on board/state of seclusion or isolation of a person,http://www.wikidata.org/entity/Q2837490
American Sniper,2014,drama film/action film/war film/biographical film/film based on books,American war veteran and author,http://www.wikidata.org/entity/Q16970789
Amour Fou,2014,biographical film/historical film,"strong, positive emotion based on affection/thoughts, ideas, or ruminations about the possibility of ending one's life/deep sadness about the state of the world/incurable disease unable to be treated that will almost certainly result in the patient's death/agreement between multiple individuals to kill themselves/stock character; character who is in constant torment due to frustrations with art and other people",http://www.wikidata.org/entity/Q16249196
An American Girl: Isabelle Dances Into the Spotlight,2014,musical film/children's film,"popular style or practice in clothing, personal adornment, or decorative arts",http://www.wikidata.org/entity/Q17511955
